Date,Open,Close,Low,High,Volume
2015-12-08,10989.2,10981.85,10946.0,11109.3,8486760
2015-12-09,10978.25,10930.05,10916.25,11027.3,11006038
2015-12-10,10971.55,11055.5,10931.15,11073.15,7908231
2015-12-11,11086.55,11043.05,11015.6,11086.55,8502528
2015-12-14,10940.75,11099.7,10940.75,11124.9,7044052
2015-12-15,11139.55,11058.25,11044.35,11139.55,9065922
2015-12-16,11081.75,11144.9,11081.75,11187.85,8751937
2015-12-17,11182.95,11275.15,11122.45,11293.05,9556916
2015-12-18,11227.15,11122.5,11094.8,11227.15,11781399
2015-12-21,11096.4,11224.75,11067.2,11232.5,6043899
2015-12-22,11201.8,11095.45,11081.15,11201.8,5998230
2015-12-23,11163.8,11195.65,11130.65,11206.4,4638075
2015-12-24,11193.25,11184.9,11152.85,11197.5,2927864
2015-12-28,11152.7,11271.8,11146.85,11303.05,8055590
2015-12-29,11257.05,11253.45,11206.6,11287.5,6024174
2015-12-30,11247.35,11117.6,11100.1,11263.6,6564991
2015-12-31,11113.0,11212.55,11113.0,11233.85,8197040
2016-01-01,11210.25,11174.85,11137.85,11221.6,3126850
2016-01-04,11144.0,11029.25,11004.65,11160.95,7875357
2016-01-05,11082.6,10997.15,10945.2,11084.6,7909892
2016-01-06,11027.55,11018.15,10979.45,11037.4,8585557
2016-01-07,10947.75,10863.2,10822.7,10964.65,10454519
